iter	Passed	Remaining
694	2016	884
695	2019	882
696	2022	879
697	2025	876
698	2028	873
699	2031	870
700	2034	867
701	2037	864
702	2040	862
703	2043	859
704	2046	856
705	2049	853
706	2052	850
707	2055	847
708	2057	844
709	2060	841
710	2063	838
711	2065	835
712	2067	832
713	2070	829
714	2073	826
715	2076	823
716	2078	820
717	2081	817
718	2084	814
719	2087	811
720	2089	808
721	2092	805
722	2095	802
723	2097	799
724	2100	796
725	2103	793
726	2105	790
727	2108	787
728	2111	785
729	2114	782
730	2117	779
731	2120	776
732	2123	773
733	2127	770
734	2131	768
735	2135	766
736	2139	763
737	2143	760
738	2146	758
739	2150	755
740	2154	753
741	2158	750
742	2161	747
743	2165	745
744	2170	742
745	2173	740
746	2177	737
747	2181	734
748	2186	732
749	2190	730
750	2194	727
751	2197	724
752	2201	722
753	2205	719
754	2208	716
755	2211	713
756	2214	711
757	2218	708
758	2221	705
759	2224	702
760	2227	699
761	2231	696
762	2233	693
763	2236	690
764	2239	687
765	2242	684
766	2244	681
767	2247	678
768	2250	676
769	2253	672
770	2255	669
771	2258	666
772	2260	663
773	2263	660
774	2267	658
775	2269	655
776	2272	652
777	2275	649
778	2278	646
779	2280	643
780	2283	640
781	2286	637
782	2289	634
783	2292	631
784	2295	628
785	2298	625
786	2301	622
787	2304	619
788	2306	616
789	2309	614
790	2312	611
791	2315	608
792	2318	605
793	2321	602
794	2323	599
795	2326	596
796	2329	593
797	2332	590
798	2335	587
799	2338	584
800	2341	581
801	2344	578
802	2346	575
803	2350	572
804	2352	569
805	2355	566
806	2358	563
807	2361	561
808	2363	558
809	2366	555
810	2370	552
811	2373	549
812	2375	546
813	2378	543
814	2381	540
815	2384	537
816	2387	534
817	2389	531
818	2392	528
819	2395	525
820	2399	523
821	2402	520
822	2404	517
823	2407	514
824	2410	511
825	2412	508
826	2415	505
827	2418	502
828	2421	499
829	2423	496
830	2426	493
831	2429	490
832	2431	487
833	2434	484
834	2437	481
835	2439	478
836	2442	475
837	2444	472
838	2447	469
839	2450	466
840	2452	463
841	2455	460
842	2457	457
843	2460	454
844	2462	451
845	2465	448
846	2468	445
847	2471	442
848	2474	440
849	2476	437
850	2479	434
851	2482	431
852	2484	428
853	2487	425
854	2489	422
855	2492	419
856	2494	416
857	2497	413
858	2500	410
859	2503	407
860	2506	404
861	2508	401
862	2511	398
863	2514	395
864	2516	392
865	2519	389
866	2522	386
867	2524	383
868	2527	381
869	2530	378
870	2533	375
871	2536	372
872	2538	369
873	2541	366
874	2543	363
875	2546	360
876	2549	357
877	2551	354
878	2554	351
879	2556	348
880	2559	345
881	2562	342
882	2565	339
883	2568	336
884	2570	334
885	2573	331
886	2575	328
887	2579	325
888	2581	322
889	2584	319
890	2587	316
891	2589	313
892	2592	310
893	2595	307
894	2598	304
895	2601	301
896	2603	298
897	2606	296
898	2609	293
899	2611	290
900	2614	287
901	2617	284
902	2619	281
903	2622	278
904	2624	275
905	2627	272
906	2630	269
907	2633	266
908	2635	263
909	2638	260
910	2641	258
911	2644	255
912	2646	252
913	2649	249
914	2652	246
915	2655	243
916	2658	240
917	2660	237
918	2663	234
919	2665	231
920	2668	228
921	2671	226
922	2674	223
923	2676	220
924	2679	217
925	2682	214
926	2685	211
927	2688	208
928	2691	205
929	2694	202
930	2696	199
931	2699	196
932	2702	194
933	2704	191
934	2707	188
935	2710	185
936	2713	182
937	2716	179
938	2719	176
939	2722	173
940	2725	170
941	2728	167
942	2730	165
943	2734	162
944	2736	159
945	2739	156
946	2742	153
947	2744	150
948	2747	147
949	2750	144
950	2753	141
951	2757	139
952	2759	136
953	2762	133
954	2765	130
955	2768	127
956	2771	124
957	2773	121
958	2776	118
959	2779	115
960	2782	112
961	2785	110
962	2788	107
963	2790	104
964	2793	101
965	2796	98
966	2799	95
967	2802	92
968	2805	89
969	2807	86
970	2810	83
971	2812	81
972	2815	78
973	2818	75
974	2821	72
975	2823	69
976	2826	66
977	2829	63
978	2832	60
979	2834	57
980	2837	54
981	2839	52
982	2842	49
983	2845	46
984	2847	43
985	2850	40
986	2853	37
987	2856	34
988	2859	31
989	2862	28
990	2865	26
991	2868	23
992	2871	20
993	2874	17
994	2877	14
995	2879	11
996	2883	8
997	2885	5
998	2888	2
999	2890	0
